pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1161 b,Kepler-1161,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.71252541,0.00003876,-0.00003876,0,,,,,2.13,0.5,-0.13,0,0.19002587,0.04460701,-0.01159782,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4253,55.15,-52.76,0,0.57,0.026,-0.028,0,0.59,0.034,-0.035,0,-0.35,0.133,-0.148,0,[Fe/H],4.7,0.02,-0.018,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m18.49s,299.0770621,+45d26m26.01s,45.4405583,547.726,9.853,-9.853,16.163,0.332,-0.332,13.141,0.028,-0.028,15.8004,0.000542,-0.000542,5/6/16,2016-05,5/10/16
Kepler-1162 b,Kepler-1162,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,32.5637069,0.0002472,-0.0002472,0,,,,,2.21,0.5,-0.21,0,0.19716299,0.04460701,-0.01873495,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5390,61.74,-58.89,0,0.84,0.074,-0.046,0,0.89,0.036,-0.043,0,-0.03,0.148,-0.149,0,[Fe/H],4.54,0.038,-0.084,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m10.09s,283.2920273,+45d26m02.33s,45.4339813,940.211,26.13,-24.779,15.749,0.092,-0.092,13.753,0.054,-0.054,15.4855,0.000409,-0.000409,5/6/16,2016-05,5/10/16
Kepler-1162 c,Kepler-1162,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,59.284064,0.0006992,-0.0006992,0,0.2832,,,0,1.81,0.13,-0.11,0,0.16147766,0.01159784,-0.00981356,0,,,,,,,,,,0,,,0,6.14,1.39,-1.01,0,401,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5225,83,-73,0,0.859,0.063,-0.051,0,0.861,0.05,-0.041,0,0.14,0.15,-0.15,0,[Fe/H],4.505,0.054,-0.054,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m10.09s,283.2920273,+45d26m02.33s,45.4339813,940.211,26.13,-24.779,15.749,0.092,-0.092,13.753,0.054,-0.054,15.4855,0.000409,-0.000409,5/8/17,8/31/17 0:00,5/8/17
Kepler-1163 b,Kepler-1163,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.11786898,0.00002808,-0.00002808,0,,,,,1.03,0.17,-0.11,0,0.09189045,0.01516638,-0.00981354,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6302,69.67,-63.95,0,1.35,0.226,-0.134,0,1.22,0.073,-0.053,0,0.02,0.079,-0.085,0,[Fe/H],4.26,0.083,-0.112,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m56.61s,290.235863,+50d01m48.24s,50.0300654,478.647,4.593,-4.508,12.208,0.069,-0.069,10.971,0.022,-0.022,12.1183,0.000166,-0.000166,5/6/16,2016-05,5/10/16
Kepler-1164 b,Kepler-1164,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.97599768,0.00001086,-0.00001086,0,,,,,1.12,0.04,-0.07,0,0.09991971,0.00356856,-0.00624498,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5183,80.28,-63.78,0,0.79,0.022,-0.023,0,0.85,0.031,-0.037,0,-0.03,0.105,-0.105,0,[Fe/H],4.57,0.016,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m07.11s,287.5296372,+38d53m40.22s,38.8945065,431.622,3.244,-3.196,14.321,0.137,-0.137,12.203,0.02,-0.02,14.0899,0.000432,-0.000432,5/6/16,2016-05,5/10/16
Kepler-1165 b,Kepler-1165,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.478522,0.00005909,-0.00005909,0,,,,,1.55,0.5,-0.19,0,0.13828174,0.04460701,-0.01695066,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6080,97.21,-115.97,0,1.18,0.393,-0.142,0,1.13,0.117,-0.076,0,0.05,0.135,-0.155,0,[Fe/H],4.34,0.092,-0.204,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m53.09s,286.9712284,+44d42m29.76s,44.7082669,1575.2,50.37,-47.39,14.521,0.114,-0.114,13.07,0.029,-0.029,14.3923,0.000284,-0.000284,5/6/16,2016-05,5/10/16
Kepler-1165 c,Kepler-1165,1,1,2,Transit,2021,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,29.96870041,,,0,,,,,3.36093385,,,0,0.29984295,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6249,174,-217,0,1.076,0.335,-0.112,0,1.13,0.159,-0.159,0,-0.04,0.25,-0.3,0,[Fe/H],4.428,0.054,-0.202,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m53.09s,286.9712284,+44d42m29.76s,44.7082669,1575.2,50.37,-47.39,14.521,0.114,-0.114,13.07,0.029,-0.029,14.3923,0.000284,-0.000284,12/5/21,2022-02,12/5/21
Kepler-1166 b,Kepler-1166,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,33.2406882,0.00028,-0.00028,0,,,,,1.69,0.62,-0.14,0,0.1507717,0.0553127,-0.01248996,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5446,83.15,-87.62,0,0.86,0.104,-0.057,0,0.9,0.043,-0.053,0,-0.02,0.143,-0.18,0,[Fe/H],4.53,0.044,-0.112,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m23.64s,290.3484956,+50d54m10.22s,50.9028387,634.906,7.946,-7.946,14.65,0.069,-0.069,12.737,0.028,-0.028,14.466,0.000276,-0.000276,5/6/16,2016-05,5/10/16
Kepler-1167 b,Kepler-1167,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.003933739,0.000002678,-0.000002678,0,,,,,1.71,0.12,-0.12,0,0.15255598,0.01070568,-0.01070568,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4971,96.57,-125.1,0,0.75,0.04,-0.044,0,0.79,0.04,-0.049,0,-0.05,0.163,-0.175,0,[Fe/H],4.6,0.026,-0.043,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m12.64s,298.3026595,+47d41m38.28s,47.6939654,820.905,25.675,-24.189,16.047,0.229,-0.229,13.663,0.045,-0.045,15.9292,0.000562,-0.000562,5/6/16,2016-05,5/10/16
Kepler-1168 b,Kepler-1168,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,55.8226539,0.0003871,-0.0003871,0,,,,,2.5,0.18,-0.13,0,0.22303506,0.01605852,-0.01159782,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5157,47.04,-55.91,0,0.82,0.045,-0.035,0,0.87,0.038,-0.037,0,0.13,0.152,-0.167,0,[Fe/H],4.56,0.029,-0.055,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m11.47s,287.2977834,+47d27m19.76s,47.455488,752.666,15.257,-15.257,15.755,0.137,-0.137,13.686,0.044,-0.044,15.6088,0.000457,-0.000457,5/6/16,2016-05,5/10/16
