pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,Paranal Observatory,Published Confirmed,0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,246.36,1.38,-1.35,0,0.36,0.01,-0.01,0,,,,,,,,,9057.77,603.85,-603.85,0,28.5,1.9,-1.9,0,Mass,0.345,0.068,-0.064,0,,,,,,,,,0,<a refstr=SAHLMANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.133S/abstract target=ref> Sahlmann et al. 2013 </a>,L1.5,,,,,,,,,0.075,0.007,-0.007,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,,,,,,,12.062,0.023,-0.023,18.5577,0.002909,-0.002909,5/14/14,2013-08,5/14/14
GJ 896 A b,GJ 896 A,1,2,1,Astrometry,2022,Very Long Baseline Array,Published Confirmed,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,284.39,1.47,-1.47,0,0.63965,0.00067,-0.00067,0,,,,,,,,,718.2921998,181.162192,-181.162192,0,2.26,0.57,-0.57,0,Mass,0.35,0.19,-0.19,0,,,,,,,,,0,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,M3.5 V,,,,,,,,,0.43599,0.00092,-0.00092,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m52.81s,352.9700384,+19d56m13.20s,19.9370011,6.26022,0.003265,-0.003265,10.05,0.1,-0.1,5.326,0.018,-0.018,9.03758,0.000673,-0.000673,9/14/22,2022-09,9/14/22
Gaia-4 b,Gaia-4,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,571.3,1.4,-1.3,0,,,,,,,,,,,,,3750.375203,232.0147371,-209.7667486,0,11.8,0.73,-0.66,0,Mass,0.338,0.026,-0.023,0,,,,,,,,,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,,4034,77,-77,0,0.624,0.014,-0.015,0,0.644,0.025,-0.023,0,0.05,0.13,-0.13,0,[Fe/H],4.68,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h58m01.53s,209.5063762,+31d41m43.76s,31.6954898,73.4829,0.1536,-0.1529,12.405,0.069,-0.069,9.135,0.019,-0.019,11.9187,0.000365,-0.000365,2/12/25,2025-02,2/12/25
Gaia-5 b,Gaia-5,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,358.62,0.2,-0.2,0,,,,,,,,,,,,,6633.078854,168.4490557,-165.2707716,0,20.87,0.53,-0.52,0,Mass,0.6423,0.0026,-0.0026,0,,,,,,,,,0,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,,3447,77,-77,0,0.345,0.013,-0.013,0,0.339,0.027,-0.03,0,-0.18,0.13,-0.13,0,[Fe/H],4.83,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m09.80s,302.0408173,+41d56m29.56s,41.9415455,41.1813,0.097,-0.0965,14.61,0.2,-0.2,9.754,0.018,-0.018,13.2287,0.000478,-0.000478,2/12/25,2025-02,2/12/25
HD 128717 b,HD 128717,1,1,1,Astrometry,2025,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..67P/abstract target=ref>Pinamonti et al. 2026</a>,3420,20,-20,0,4.85,0.02,-0.01,0,,,,,,,,,6293.002459,158.9142035,-158.9142035,0,19.8,0.5,-0.5,0,Mass,0.85,0.002,-0.002,0,,,,,,,,,0,<a refstr=PINAMONTI_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..67P/abstract target=ref>Pinamonti et al. 2026</a>,,6210,40,-40,0,1.248,0.024,-0.024,0,1.212,0.058,-0.068,0,0.16,0.08,-0.08,0,[Fe/H],4.329,0.025,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h36m21.16s,219.0881687,+57d33m39.42s,57.5609512,73.636,0.1689,-0.168,8.32,0.03,-0.03,7.039,0.029,-0.029,8.18929,0.000256,-0.000256,1/8/26,2026-03,1/8/26
HIP 66074 b,HIP 66074,1,1,1,Astrometry,2023,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=SOZZETTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677L..15S/abstract target=ref>Sozzetti et al. 2023</a>,310.9,21.7,-17.7,0,0.799,0.035,-0.035,0,,,,,,,,,1589.142035,635.656814,-635.656814,0,5,2,-2,0,Mass,0.948,0.004,-0.004,0,,,,,,,,,0,<a refstr=SOZZETTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677L..15S/abstract target=ref>Sozzetti et al. 2023</a>,,4300,60,-60,0,0.69,0.013,-0.012,0,0.705,0.025,-0.023,0,0.12,0.05,-0.05,0,[Fe/H],4.58,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h32m39.26s,203.1635632,+75d00m25.57s,75.0071038,35.4438,0.0261,-0.026,10.25,0.03,-0.03,7.182,0.016,-0.016,9.74727,0.00032,-0.00032,10/24/23,2023-09,10/24/23
HD 97048 b,HD 97048,1,1,1,Disk Kinematics,2019,Atacama Large Millimeter Array (ALMA),Published Confirmed,0,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,,,,,130,,,0,,,,,,,,,794.575,158.915,-158.915,0,2.5,0.5,-0.5,0,Mass,,,,,,,,,,,,,0,<a refstr=PINTE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1109P/abstract target=ref>Pinte et al. 2019</a>,Be9.5/AO,10000,,,0,2.25,,,0,2.4,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m03.20s,167.0133422,-77d39m17.47s,-77.654853,183.857,1.331,-1.313,8.44,0.03,-0.03,5.941,0.029,-0.029,8.33867,0.000575,-0.000575,10/18/19,2019-08,10/24/19
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406,4,-4,0,,,,,,,,,,,,,591.160837,15.89142035,-15.89142035,0,1.86,0.05,-0.05,0,Msini,0.33,0.05,-0.05,0,,,,,,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564,,,0,0.203,0.001,-0.001,0,0.48,,,0,,,,,,5.508,0.012,-0.012,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,4/19/22,2022-04,4/19/22
DP Leo b,DP Leo,1,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,Published Confirmed,0,<a refstr=BEUERMANN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...526A..53B/abstract target=ref> Beuermann et al. 2011 </a>,10220.00000000000,730,-730,0,8.19,0.39,-0.39,0,,,,,,,,,1922.79,149.37,-149.37,0,6.05,0.47,-0.58,0,Msini,0.39,0.13,-0.13,0,,,,,,,,,0,<a refstr=BEUERMANN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...526A..53B/abstract target=ref> Beuermann et al. 2011 </a>,,,,,,,,,,0.69,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h17m15.89s,169.3162193,+17d57m41.66s,17.9615717,305.684,33.554,-27.604,18.6837,0.0496,-0.0496,,,,18.6333,0.015748,-0.015748,5/14/14,2011-02,5/14/14
Kepler-1660 AB b,Kepler-1660 A,1,2,1,Eclipse Timing Variations,2023,Kepler,Published Confirmed,0,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,239.5044,0.0686,-0.0686,0,,,,,,,,,,,,,1586.599408,73.10053361,-73.10053361,0,4.992,0.23,-0.23,0,Mass,0.05541,0.00147,-0.00147,0,,,,,,,,,0,<a refstr=GOLDBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4628G/abstract target=ref>Goldberg et al. 2023</a>,,,,,,1.491,0.072,-0.072,0,1.1366,0.0728,-0.0728,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m12.47s,290.5519537,+40d14m06.16s,40.2350445,1188.54,21.12,-21.12,13.595,0.103,-0.103,12.215,0.024,-0.024,13.4394,0.000215,-0.000215,4/19/24,2023-11,4/19/24
Kepler-451 c,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,1460,90,-90,0,,,,,,,,,,,,,511.7037353,44.49597698,-44.49597698,0,1.61,0.14,-0.14,0,Msini,0.29,0.07,-0.07,0,,,,,,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564,,,0,0.203,0.001,-0.001,0,0.48,,,0,,,,,,5.508,0.012,-0.012,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,4/19/22,2022-04,4/19/22
Kepler-451 d,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,43,0.1,-0.1,0,,,,,,,,,,,,,559.3779963,57.20911326,-57.20911326,0,1.76,0.18,-0.18,0,Msini,0,,,0,,,,,,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564,,,0,0.203,0.001,-0.001,0,0.48,,,0,,,,,,5.508,0.012,-0.012,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,4/19/22,2022-04,4/19/22
MXB 1658-298 b,MXB 1658-298,1,2,1,Eclipse Timing Variations,2017,Multiple Observatories,Published Confirmed,0,<a refstr=JAIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468L.118J/abstract target=ref>Jain et al. 2017</a>,760,,,0,1.613,0.11,-0.11,0,,,,,,,,,7532.571,1017.056,-1017.056,0,23.7,3.2,-3.2,0,Mass,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=LEWIN__AMP__JOSS_1981 href=https://ui.adsabs.harvard.edu/abs/1981SSRv...28....3L/abstract target=ref>Lewin &amp; Joss 1981</a>,17h02m06.54s,255.5272522,-29d56m44.1s,-29.9455833,,,,,,,,,,,,,7/26/17,2017-06,7/27/17
UZ For b,UZ For,1,2,2,Eclipse Timing Variations,2011,Multiple Observatories,Published Confirmed,0,<a refstr=POTTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.2202P/abstract target=ref> Potter et al. 2011 </a>,5840,1095,-1095,0,5.9,1.4,-1.4,0,,,,,,,,,2002.2,476.7,-476.7,-1,6.3,1.5,-1.5,-1,Mass,0.04,0.05,-0.05,0,,,,,,,,,0,<a refstr=POTTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.2202P/abstract target=ref> Potter et al. 2011 </a>,,,,,,,,,,0.7,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h35m28.67s,53.8694682,-25d44m21.79s,-25.7393857,,,,16.7753,0.0939,-0.0939,14.776,0.124,-0.124,16.6937,0.063232,-0.063232,5/14/14,2011-09,5/14/14
UZ For c,UZ For,1,2,2,Eclipse Timing Variations,2011,Multiple Observatories,Published Confirmed,0,<a refstr=POTTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.2202P/abstract target=ref> Potter et al. 2011 </a>,1916.25,91.25,-91.25,0,2.8,0.5,-0.5,0,,,,,,,,,2447.2,381.4,-381.4,-1,7.7,1.2,-1.2,-1,Mass,0.05,0.05,-0.05,0,,,,,,,,,0,<a refstr=POTTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.2202P/abstract target=ref> Potter et al. 2011 </a>,,,,,,,,,,0.7,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h35m28.67s,53.8694682,-25d44m21.79s,-25.7393857,,,,16.7753,0.0939,-0.0939,14.776,0.124,-0.124,16.6937,0.063232,-0.063232,5/14/14,2011-09,5/14/14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,Gemini Observatory,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,330,,,0,,,,,,,,,3000,300,-300,0,8,1,-1,0,Mass,,,,,,,,,1700,100,-100,0,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060,300,-200,0,,,,,0.85,0.2,-0.1,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,4/1/15,2015-03,4/1/15
2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,Subaru Telescope,Published Confirmed,0,<a refstr=GAIDOS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512..583G/abstract target=ref>Gaidos et al. 2022</a>,,,,,118,1.3,-1.3,0,,,,,,,,,1271.313628,317.828407,-317.828407,0,4,1,-1,0,Mass,,,,,,,,,1450,50,-50,0,0,<a refstr=GAIDOS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512..583G/abstract target=ref>Gaidos et al. 2022</a>,M V,3100,100,-100,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,0.01,0.05,-0.05,0,[Fe/H],4.5,0.5,-0.5,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,1.196,-1.174,16.186,1.133,-1.133,10.386,0.018,-0.018,14.3374,0.000772,-0.000772,12/13/21,2022-05,12/13/21
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,Paranal Observatory,Published Confirmed,0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,,,,,84,,,0,,,,,,,,,4131.79,317.83,-317.83,0,13,1,-1,0,Mass,,,,,,,,,,,,,0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,15.788,0.275,-0.275,9.237001,0.022,-0.022,,,,9/8/20,2013-05,9/3/20
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,,,,52,6,-6,0,,,,,,,,,7786.5,794.5,-794.5,0,24.5,2.5,-2.5,0,Mass,,,,,,,,,,,,,0,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530,50,-50,0,,,,,0.4,0.05,-0.05,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151,5/14/14,2013-09,5/14/14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,,,,156,10,-10,0,16.14096,0.33627,-0.33627,0,1.44,0.03,-0.03,0,4417.837,349.613,-349.613,0,13.9,1.1,-1.1,0,Mass,,,,,,,,,,,,,0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064,76,-76,0,0.281,0.013,-0.013,0,0.108,0.011,-0.011,0,,,,,,4.59,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,,,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,5/14/15,2015-06,5/14/15
2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,Imaging,2018,Mauna Kea Observatory,Published Confirmed,0,<a refstr=LIU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260501012L/abstract target=ref>Liu et al. 2026</a>,,,,,,,,,17.37392009,0.33626942,-0.33626942,0,1.55,0.03,-0.03,0,3616.887272,244.7278734,-244.7278734,0,11.38,0.77,-0.77,0,Mass,,,,,,,,,1723,,,0,0,<a refstr=DUPUY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...57D/abstract target=ref>Dupuy et al. 2018</a>,M6 V,,,,,,,,,0.046,0.012,-0.011,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613,0.4543,-0.4482,18.3,0.2,-0.2,11.055,0.021,-0.021,15.6894,0.001224,-0.001224,5/14/26,2026-05,5/14/26
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,572,7,-7,0,,,,,,,,,5720.911326,317.828407,-317.828407,0,18,1,-1,0,Mass,,,,,,,,,2369,21,-5,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.435,2.32,-2.233,,,,12.533,0.028,-0.028,16.9967,0.001082,-0.001082,5/8/24,2024-01,5/8/24
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,Imaging,2010,Hubble Space Telescope,Published Confirmed,0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,,,,15,,,0,,,,,,,,,2383.6,794.5,-794.5,0,7.5,2.5,-2.5,0,Mass,,,,,,,,,,,,,0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,,,,,,,0.019,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,5/14/14,2010-05,5/14/14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,266,8,-8,0,,,,,,,,,8899.195396,3178.28407,-2224.798849,0,28,10,-7,0,Mass,,,,,,,,,2677,78,-76,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,,,,,11.632,0.026,-0.026,18.3299,0.002294,-0.002294,5/8/24,2024-01,5/8/24
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,,,,587,2,-2,0,,,,,,,,,6356.56814,317.828407,-317.828407,0,20,1,-1,0,Mass,,,,,,,,,2506,2,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.862,0.603,-0.596,16.957,0.309,-0.309,10.079,0.021,-0.021,14.818,0.001725,-0.001725,5/7/24,2024-01,5/7/24
