RVel,orb_phase,RVel_err
190.00000000000128,0.2478519402733923,630.0
-1589.9999999999998,0.16307743837097632,580.0
-440.00000000000125,0.12229903791603647,800.0
-1320.0000000000002,0.3160764814927006,970.0
-1440.0000000000014,-0.09646342640098737,1570.0
-379.999999999999,-0.2486933697315976,790.0
-849.9999999999978,0.2680935806463367,1220.0
960.0000000000009,-0.24486038959855705,2300.0
-870.000000000001,0.27192656077937727,1390.0
-1030.0000000000011,-0.21128648884263157,1770.0
-129.999999999999,-0.3561581118236177,1150.0
-1230.0000000000005,0.1457583785891643,1020.0
640.0000000000006,-0.3820660523132915,780.0
-620.000000000001,0.10497997744181475,630.0
730.0000000000005,-0.29268947048666405,330.0
509.999999999998,-0.35937581143133457,330.0
-750.0,0.49621402546239324,500.0
-269.99999999999955,0.08630157914330994,290.0
-879.999999999999,0.2509533826224981,410.0
589.9999999999999,-0.23225966699956757,350.0
-1000.0,0.2437488822310172,470.0
1199.9999999999993,-0.29894600794418125,250.0
-280.00000000000114,0.15835910118815377,430.0
1189.9999999999977,-0.23931034674035345,440.0
-1019.9999999999995,0.15498758092974185,330.0
759.999999999998,-0.4801477714140674,920.0
329.9999999999983,-0.10056648375089594,290.0
780.0000000000011,0.4608318472150046,340.0
419.9999999999982,-0.12264144410755762,390.0
250.0,-0.09197760373541541,420.0
469.99999999999886,-0.07710714307778233,480.0
219.99999999999886,-0.047366222454982676,660.0
-199.9999999999993,-0.032495762489816116,530.0
-169.99999999999815,-0.0027548418670164665,370.0
609.9999999999994,0.012115618790616622,460.0
-199.9999999999993,0.026986078755783183,400.0
-230.00000000000043,0.04185653941341627,490.0
-1059.9999999999986,0.07159746003621592,380.0
190.00000000000128,0.08646792000138248,370.0
-1669.9999999999982,0.10133838065901557,400.0
-289.99999999999915,0.11620884062419634,350.0
-1019.9999999999995,0.13107930128181522,410.0
-1210.000000000001,0.16082022121216255,450.0
510.0000000000016,-0.13275600419031264,540.0
310.0000000000023,-0.11788554422514608,400.0
740.000000000002,-0.08814462360234643,330.0
-149.99999999999858,-0.07327416294471334,420.0
80.00000000000185,-0.05840370297954678,460.0
400.00000000000216,-0.04353324232191369,370.0
-410.0000000000001,-0.02866278235674713,300.0
0.0,0.0010781382660667305,350.0
-120.000000000001,0.01594859892368561,260.0
80.00000000000185,0.03081905888886638,290.0
-189.99999999999773,0.04568951954648526,570.0
-649.9999999999986,0.06055997951166603,370.0
-640.0000000000006,0.09030090013446568,390.0
-129.999999999999,0.10517136079209877,450.0
