orb_phase,norm_flux
-0.029291435,1.005617103
-0.029291435,0.999983079
-0.028658685,0.998820354
-0.028025936,0.995089439
-0.027393186,1.000176971
-0.027393186,1.002113357
-0.026760437,1.000395167
-0.026127687,1.001812208
-0.026127687,0.995007421
-0.025494938,1.000463054
-0.024862188,1.001418917
-0.024229439,0.997035282
-0.024229439,1.002745051
-0.023596689,1.000104229
-0.02296394,1.0023514
-0.02296394,1.000967556
-0.02233119,0.998699285
-0.021698441,0.998181409
-0.021698441,1.000390312
-0.021065691,0.999503262
-0.020432942,0.999629249
-0.020432942,0.996687371
-0.019800192,1.004277412
-0.019167443,1.001724821
-0.019167443,1.004034036
-0.018534694,0.999270752
-0.017901944,0.999212635
-0.017269195,0.999983097
-0.017269195,0.997958908
-0.016636445,0.998728403
-0.016003696,0.998854301
-0.016003696,0.998946303
-0.015370946,0.997325417
-0.014738197,0.998922122
-0.014738197,1.000395273
-0.014105447,0.99757688
-0.013472698,0.99917399
-0.013472698,0.998162202
-0.012839948,0.994525368
-0.012207199,0.993735057
-0.012207199,0.995292224
-0.011574449,0.988656344
-0.0109417,0.990421602
-0.01030895,0.990455234
-0.01030895,0.988814557
-0.009676201,0.98730105
-0.009043451,0.986879999
-0.009043451,0.983975641
-0.008410702,0.988095897
-0.007777953,0.983227112
-0.006512454,0.985197601
-0.006512454,0.983746829
-0.005879704,0.982331558
-0.005246955,0.987081125
-0.005246955,0.983360699
-0.004614205,0.983303532
-0.003981456,0.980984966
-0.003981456,0.981979342
-0.003348706,0.983551498
-0.002715957,0.983766111
-0.002715957,0.984944723
-0.002083207,0.984071403
-0.001450458,0.984648822
-0.000817708,0.985226581
-0.000817708,0.984682275
-0.000184959,0.986167931
0.000447791,0.983933238
0.000447791,0.984205146
0.00108054,0.982879751
0.00171329,0.986450153
0.00171329,0.985178997
0.002346039,0.986301973
0.002978788,0.985881369
0.002978788,0.984157621
0.003611538,0.985279434
0.004244287,0.986220843
0.004244287,0.985312918
0.004877037,0.986072702
0.005509786,0.987469512
0.006142536,0.986412248
0.006142536,0.989050476
0.006775285,0.988355576
0.007408035,0.990302734
0.007408035,0.996065684
0.008040784,0.99591607
0.008673534,0.997602439
0.008673534,1.000454869
0.009306283,1.000765361
0.009939032,0.99904955
0.009939032,1.003476089
0.010571782053062861,1.000556902
0.011204531625395475,1.000130235
0.011204531625395475,0.999853927
0.011837280903080227,0.999335514
0.012470030475412841,1.000751124
0.013102780047745455,1.002722713
0.013102780047745455,1.00087733
0.013735529325401785,1.001556881
0.014368278897734399,0.998919257
0.014368278897734399,1.004362261
0.015001028470067013,0.99794166
0.015633777747751765,1.001013468
0.015633777747751765,1.00276674
0.016266527,1.000770947
0.016899277,1.001173759
0.016899277,0.999331226
0.017532026170101744,1.002314994
0.018164775742405936,0.999399199
0.018164775742405936,0.998479142
0.018797525,1.000446266
0.019430274592423302,0.998455097
0.020063024164755916,0.999777387
0.020063024164755916,0.999040995
0.020695773442440668,1.002116197
0.021328523014773282,1.001596628
0.021328523014773282,0.999200986
0.021961272587077474,0.998407022
0.022594021864762226,0.998716902
0.022594021864762226,0.999729253
0.023226771,0.998566918
0.023859521009427453,1.001363941
0.023859521009427453,1.000349935
0.024492270287112206,1.001582489
0.02512502,0.996004954
0.02512502,0.999220875
0.025757769431777433,1.002019733
0.026390518709433763,0.999933344
0.027023268281766377,1.002364847
0.027023268281766377,1.000704442
0.027656018,0.998161018
0.028288767131783743,1.00049606
0.028288767131783743,1.001879252
0.028921516704116357,0.998412848
0.029554266,0.996701106
0.029554266,1.00240896
0.030187016,0.999953303
0.030819765126437915,0.998055057
0.030819765126437915,1.000447952
0.031452514,0.999653014
0.032085264,1.000055403
0.032085264,0.999963299
0.032718013548787894,1.000457956
0.033350762826472646,0.998099008
0.033983512,1.00255546
0.033983512,0.998316861
0.034616262,0.999823152
0.035249011248794204,0.999304798
0.035249011248794204,0.998292878
0.035881761,1.000628242
0.03651451,0.998728725
