HJD,BJD,orb_phase,norm_flux,norm_flux_err
2455396.426,2455396.427,0.022994116,0.999777387,0.002
2455396.426,2455396.427,0.022994116,0.999040995,0.002
2455396.427,2455396.428,0.023626865,1.002116197,0.002
2455396.428,2455396.429,0.024259615,1.001596628,0.002
2455396.428,2455396.429,0.024259615,0.999200986,0.002
2455396.429,2455396.43,0.024892364,0.998407022,0.002
2455396.43,2455396.431,0.025525113,0.998716902,0.002
2455396.43,2455396.431,0.025525113,0.999729253,0.002
2455396.431,2455396.432,0.026157863,0.998566918,0.002
2455396.432,2455396.433,0.026790613,1.001363941,0.002
2455396.432,2455396.433,0.026790613,1.000349935,0.002
2455396.433,2455396.434,0.027423362,1.001582489,0.002
2455396.434,2455396.435,0.028056111,0.996004954,0.002
2455396.434,2455396.435,0.028056111,0.999220875,0.002
2455396.435,2455396.436,0.028688861,1.002019733,0.002
2455396.436,2455396.437,0.02932161,0.999933344,0.002
2455396.437,2455396.438,0.02995436,1.002364847,0.002
2455396.437,2455396.438,0.02995436,1.000704442,0.002
2455396.438,2455396.439,0.030587109,0.998161018,0.002
2455396.439,2455396.44,0.031219859,1.00049606,0.002
2455396.439,2455396.44,0.031219859,1.001879252,0.002
2455396.44,2455396.441,0.031852608,0.998412848,0.002
2455396.441,2455396.442,0.032485358,0.996701106,0.002
2455396.441,2455396.442,0.032485358,1.00240896,0.002
2455396.442,2455396.443,0.033118107,0.999953303,0.002
2455396.443,2455396.444,0.033750857,0.998055057,0.002
2455396.443,2455396.444,0.033750857,1.000447952,0.002
2455396.444,2455396.445,0.034383606,0.999653014,0.002
2455396.445,2455396.446,0.035016356,1.000055403,0.002
2455396.445,2455396.446,0.035016356,0.999963299,0.002
2455396.446,2455396.447,0.035649105,1.000457956,0.002
2455396.447,2455396.448,0.036281854,0.998099008,0.002
2455396.448,2455396.449,0.036914604,1.00255546,0.002
2455396.448,2455396.449,0.036914604,0.998316861,0.002
2455396.449,2455396.45,0.037547354,0.999823152,0.002
2455396.45,2455396.451,0.038180103,0.999304798,0.002
2455396.45,2455396.451,0.038180103,0.998292878,0.002
2455396.451,2455396.452,0.038812852,1.000628242,0.002
2455396.452,2455396.453,0.039445602,0.998728725,0.002
