,BJD,mag,orb_phase,flux,norm_flux
0,2457598.357,7.6436,-0.0311599875894899,2.6850971276844906e-23,1.0001573084179287
1,2457598.358,7.6426,-0.030709247874938228,2.687571332770907e-23,1.001027261057945
2,2457598.359,7.6415,-0.03025850816061393,2.690295591704617e-23,1.001990255526844
3,2457598.36,7.644,-0.02980776865615553,2.684108083545245e-23,0.9996341684827313
4,2457598.36,7.6398,-0.02980776865615553,2.6945112426648155e-23,1.0035085852321306
5,2457598.362,7.6422,-0.028906289227279558,2.6885616530534014e-23,1.0011894957442355
6,2457598.363,7.646,-0.02845554972282116,2.679168324819037e-23,0.9976400655817966
7,2457598.363,7.6479,-0.02845554972282116,2.674483974822749e-23,0.9958957573969719
8,2457598.364,7.6455,-0.028004810008269487,2.680402411565469e-23,0.9980481206363203
9,2457598.365,7.6483,-0.027554070293945188,2.673498839993326e-23,0.9954262319450288
10,2457598.365,7.6437,-0.027554070293945188,2.68484983248824e-23,0.9996525572080225
11,2457598.366,7.6454,-0.027103330789259417,2.6806492971202285e-23,0.9980370930147844
12,2457598.367,7.6477,-0.026652591074935117,2.6749766783555816e-23,0.9958737498147635
13,2457598.368,7.6419,-0.02620185157047672,2.6893046327331747e-23,1.0011563091152185
14,2457598.368,7.6453,-0.02620185157047672,2.6808962054150575e-23,0.9980260761334999
15,2457598.369,7.641,-0.025751111855925046,2.6915348039269137e-23,1.0019348741664371
16,2457598.37,7.6427,-0.025300372141600747,2.687323809702462e-23,1.000315732307501
17,2457598.371,7.6383,-0.02484963263714235,2.698236420185941e-23,1.0043260007929602
18,2457598.371,7.6396,-0.02484963263714235,2.695007635696524e-23,1.003124196462762
19,2457598.374,7.6404,-0.023497413703580605,2.693022612085678e-23,1.002230313366962
20,2457598.375,7.6454,-0.023046673989256306,2.6806492971202285e-23,0.9975740560141613
21,2457598.376,7.641,-0.022595934274932006,2.6915348039269137e-23,1.0015733463984067
22,2457598.376,7.6371,-0.022595934274932006,2.7012202699185475e-23,1.0051774998986756
23,2457598.377,7.6431,-0.022145194770246235,2.686333945374339e-23,0.9995864782899876
24,2457598.378,7.6419,-0.021694455055921935,2.6893046327331747e-23,1.000640295404183
25,2457598.379,7.6439,-0.021243715341370262,2.684355310420725e-23,0.998747267301829
26,2457598.379,7.6396,-0.021243715341370262,2.695007635696524e-23,1.0027105953747981
27,2457598.38,7.644,-0.020792975836911864,2.684108083545245e-23,0.9986038163735246
28,2457598.381,7.6464,-0.020342236122587565,2.67818146452916e-23,0.9963475105984426
29,2457598.382,7.6426,-0.01989149640803589,2.687571332770907e-23,0.9997892430420496
30,2457598.383,7.6417,-0.019440756903577494,2.6898000665835486e-23,1.0005667822191706
31,2457598.384,7.6415,-0.018990017189253194,2.690295591704617e-23,1.0006995458612176
32,2457598.385,7.6419,-0.018539277684567423,2.6893046327331747e-23,1.0002794022094135
33,2457598.385,7.6423,-0.018539277684567423,2.688314038777288e-23,0.9999109535338838
34,2457598.386,7.6469,-0.018088537970243124,2.6769484003311675e-23,0.9956322376745563
35,2457598.387,7.6481,-0.017637798255918824,2.6739913620409025e-23,0.9944811959415457
36,2457598.387,7.6438,-0.017637798255918824,2.684602560067691e-23,0.9984275949665594
37,2457598.388,7.644,-0.017187058751233053,2.684108083545245e-23,0.9981922700173681
38,2457598.389,7.6511,-0.016736319036908753,2.66661304907242e-23,0.9916349618118679
39,2457598.39,7.65,-0.01628557932235708,2.6693160636242954e-23,0.992589002606923
40,2457598.391,7.651,-0.015834839817898683,2.666858664521492e-23,0.9916241367725294
41,2457598.392,7.6532,-0.015384100103574383,2.661460346880904e-23,0.9895658981819688
42,2457598.393,7.6517,-0.01493336038902271,2.665139831345687e-23,0.9908829437677277
43,2457598.393,7.6558,-0.01493336038902271,2.655094603432122e-23,0.9871481885069557
44,2457598.394,7.6558,-0.014482620884564312,2.655094603432122e-23,0.9870973510798324
45,2457598.395,7.657,-0.014031881170240013,2.6521617055078836e-23,0.9859561973816595
46,2457598.396,7.6577,-0.01358114145568834,2.650452344757848e-23,0.9852699946892121
47,2457598.396,7.6586,-0.01358114145568834,2.648256213962499e-23,0.9844536126171668
48,2457598.398,7.6642,-0.012679662236678269,2.6346322279702353e-23,0.9792882242241011
49,2457598.399,7.6641,-0.012228922522353969,2.634874897741178e-23,0.9793279998273771
50,2457598.399,7.6637,-0.012228922522353969,2.635845800362906e-23,0.9796888640655157
51,2457598.4,7.6687,-0.011778183017895572,2.623735188984493e-23,0.9751373966577151
52,2457598.401,7.6686,-0.011327443303343898,2.6239768550548332e-23,0.9751770088371812
53,2457598.402,7.6652,-0.010876703798885501,2.6322067591539118e-23,0.9781852197679187
54,2457598.403,7.6641,-0.010425964084561201,2.634874897741178e-23,0.9791263544697919
55,2457598.404,7.6693,-0.009975224370009528,2.6222856598928952e-23,0.9743980034151983
56,2457598.405,7.6702,-0.00952448486555113,2.6201128676511165e-23,0.9735405189004647
57,2457598.406,7.6661,-0.009073745150999457,2.630025746416619e-23,0.97717349592707
58,2457598.407,7.6678,-0.008623005436675157,2.6259109851242288e-23,0.9755944646235487
59,2457598.408,7.6661,-0.00817226593221676,2.630025746416619e-23,0.9770729209420704
60,2457598.409,7.6682,-0.007721526217665087,2.6249437419495597e-23,0.97513473822767
61,2457598.41,7.6669,-0.007270786503340787,2.6280885855957665e-23,0.9762527719333329
62,2457598.41,7.666,-0.007270786503340787,2.6302679918953924e-23,0.977062353259031
63,2457598.411,7.6704,-0.00682004699888239,2.6196302694749314e-23,0.9730607011746101
64,2457598.412,7.6715,-0.006369307284330716,2.616977567970071e-23,0.9720253413279863
65,2457598.413,7.6699,-0.005918567570006417,2.6208369316193598e-23,0.9734087433265799
66,2457598.413,7.6684,-0.005918567570006417,2.6244602539754202e-23,0.9747544865961165
67,2457598.414,7.6686,-0.005467828065320646,2.6239768550548332e-23,0.9745248084483931
68,2457598.417,7.6666,-0.004115609131986275,2.6288148536408096e-23,0.9761709426991029
69,2457598.418,7.6663,-0.0036648694176619756,2.6295413223888562e-23,0.9763904820189907
70,2457598.418,7.6653,-0.0036648694176619756,2.631964335116298e-23,0.9772901851515263
71,2457598.419,7.6688,-0.003214129703110302,2.623493545171417e-23,0.9740947429455253
72,2457598.42,7.6708,-0.002763390198651905,2.6186653397752347e-23,0.9722520398557789
73,2457598.421,7.669,-0.0023126504843276052,2.6230103243087724e-23,0.9738151519649714
74,2457598.421,7.6679,-0.0023126504843276052,2.6256691409221296e-23,0.9748022605098322
75,2457598.422,7.6667,-0.0018619109796418343,2.628572741994874e-23,0.9758300626206645
76,2457598.423,7.6673,-0.0014111712653175346,2.6271205403111992e-23,0.9752407960657236
77,2457598.424,7.6717,-0.0009604315509932349,2.61649554728424e-23,0.9712466377270721
78,2457598.425,7.6668,-0.0005096920463074639,2.6283306526471963e-23,0.9755896799577564
79,2457598.426,7.6668,-5.8952331983164186e-05,2.6283306526471963e-23,0.975539520423972
80,2457598.43,7.6658,0.0017440063159028796,2.6307525497929543e-23,0.976237668054912
81,2457598.431,7.6658,0.002194745820361277,2.6307525497929543e-23,0.9761874881283584
82,2457598.431,7.6633,0.002194745820361277,2.6368170607442545e-23,0.9784378326971559
83,2457598.432,7.665,0.0026454855346855766,2.6326916742184962e-23,0.9768568229338356
84,2457598.433,7.6693,0.00309622524923725,2.6222856598928952e-23,0.9729456766806691
