,orb_phase,norm_flux
0,0.43836497532328167,1.000096
1,0.4401839775131293,0.999885
2,0.44209392982730833,1.00006
3,0.4439129320172128,1.0002
4,0.4458228842890435,1.000094
5,0.44764188647889114,0.999882
6,0.44955183879307015,0.999965
7,0.4513708409829178,0.999855
8,0.45318984317276545,1.000027
9,0.4550997954445961,0.999899
10,0.4569187976345006,0.999904
11,0.4588287499486796,0.999947
12,0.46064775213852727,0.999908
13,0.46255770441035793,1.0001
14,0.4643767066002056,0.999961
15,0.46619570879005323,1.000056
16,0.46810566110423224,0.999988
17,0.46992466329413674,1.000047
18,0.47365361775581505,1.000135
19,0.47556357006999406,1.000145
20,0.4773825722598417,1.000075
21,0.47920157444968936,0.99996
22,0.48111152676386837,1.000048
23,0.48293052895377286,0.999995
24,0.4848404812256035,0.999781
25,0.4866594834154512,1.000082
26,0.4885694357296302,0.999999
27,0.49038843791947784,0.999958
28,0.4922074401093255,0.999926
29,0.49593639457106065,0.999996
30,0.49784634688523965,1.000018
31,0.4996653490750873,1.000019
32,-0.49842469865308203,1.000072
33,-0.4966056964632344,1.000065
34,-0.49478669427338673,1.000023
35,-0.4928767419592077,1.000024
36,-0.4910577397693032,1.000043
37,-0.4891477874551242,1.000092
38,-0.4873287853076249,0.999867
39,-0.4854188329934459,0.999913
40,-0.48359983080359825,0.99982
41,-0.48168987848941924,1.000048
42,-0.4798708762995716,0.999938
43,-0.4780518741096671,0.999975
44,-0.47614192183783643,1.000002
45,-0.4743229196479888,1.000069
46,-0.4724129673338098,0.999986
47,-0.4705939651439621,1.000091
48,-0.46868401287213146,1.000059
49,-0.4668650106822838,0.999989
50,-0.4650460084923793,1.000047
51,-0.4631360561782003,0.999868
52,-0.459407101716522,0.999997
53,-0.45758809952667434,0.999987
54,-0.45567814721249533,1.000122
55,-0.4538591450226477,1.000038
56,-0.4520401428327432,0.999978
57,-0.4501301905185642,0.999921
58,-0.4483111883710649,0.999939
59,-0.44640123605688586,0.999969
60,-0.4445822338670382,1.000086
61,-0.4426722815528592,1.000052
62,-0.44085327936301155,0.999987
63,-0.43903427717310706,0.999994
64,-0.43712432490133324,0.999881
65,-0.43530532271142874,1.000032
66,-0.43339537039724974,0.999938
67,-0.4315763682074021,1.000084
68,-0.4296664159355714,0.999862
69,-0.42784741374572377,1.00016
70,-0.4260284115558761,0.999872
71,-0.4241184592416971,0.999936
72,-0.4222994570517926,1.000036
73,-0.42038950477996195,1.000044
74,-0.4185705025901143,0.999888
75,-0.41484154808608764,1.000088
76,-0.41293159577190863,1.000126
77,-0.41111259358200414,1.000045
78,-0.40929359143450483,1.000125
79,-0.4073836391203258,0.999967
80,-0.4055646369304782,1.000091
81,-0.40365468461629916,1.000039
82,-0.4018356824264515,0.999845
83,-0.39992573015462085,1.000012
84,-0.3981067279647732,1.000056
85,-0.3962877257748687,1.000037
86,-0.3943777734606897,0.999943
87,-0.39255877127084204,0.99988
88,-0.3906488189990114,1.00002
89,-0.38882981680916373,1.00013
90,-0.3869198644949847,1.000121
91,-0.38510086230513707,0.999689
92,-0.3832818601152326,0.999988
93,-0.3813719078434019,0.999927
94,-0.37955290565355426,1.00002
95,-0.37764295333937525,1.000056
96,-0.3758239511495276,1.000018
97,-0.3739139988353486,1.000074
98,-0.3702759944979448,0.999901
99,-0.3683660421837658,1.000046
100,-0.36654703999391813,0.999937
101,-0.3646370876797391,0.999917
102,-0.3628180854898915,0.999968
103,-0.3609081332180608,1.000024
104,-0.35908913102821316,0.999935
105,-0.35727012883830866,0.999982
106,-0.35536017652412966,1.000073
107,-0.353541174334282,1.000025
108,-0.35163122206245134,1.000116
109,-0.3498122198726037,0.999931
110,-0.3479022675584247,0.999905
111,-0.34608326536857703,1.000036
112,-0.34426426317867254,1.000199
113,-0.3423543109068419,1.000023
114,-0.3405353087169942,0.999944
115,-0.3386253564028152,0.999964
116,-0.33680635421296756,1.000117
117,-0.33489640189878855,1.000017
118,-0.33307739975128925,1.00014
119,-0.33116744743711024,0.99992
120,-0.32934844524720575,1.000013
121,-0.3256194907431791,0.999998
122,-0.32380048855333143,0.99983
123,-0.32189053628150077,1.000051
124,-0.3200715340916531,0.999908
125,-0.3181615817774741,0.99991
126,-0.3163425795875696,1.000009
127,-0.31452357739772197,0.999972
128,-0.3126136251258913,0.999958
129,-0.31079462293604365,1.000042
130,-0.30888467062186464,1.00006
131,-0.307065668432017,0.999988
132,-0.30515571616018633,0.999995
133,-0.30333671397028183,0.999977
134,-0.3015177117804342,0.999949
135,-0.2996077594662552,1.00007
136,-0.2977887572764075,1.000045
137,-0.2958788049622285,1.00003
138,-0.2940598028147292,1.000034
139,-0.2921498505005502,1.000109
140,-0.2903308483106457,0.99997
141,-0.28851184612079805,0.99993
142,-0.28660189380661905,0.999936
143,-0.2847828916167714,1.000159
144,-0.2810539371550931,0.999842
145,-0.2791439848409141,0.999861
146,-0.2773249826510096,1.000182
147,-0.2755059804611619,1.000033
148,-0.27359602818933126,0.999987
149,-0.2717770259994836,0.999842
150,-0.2698670736853046,0.999955
151,-0.26804807149545695,1.000134
152,-0.2661381192236263,1.000163
153,-0.26431911703377864,1.000097
154,-0.26240916471959963,0.999983
155,-0.2587711603398475,0.999993
156,-0.2568612080256685,0.999863
157,-0.25504220587816917,0.999984
158,-0.25313225356399016,0.999997
159,-0.2513132513741425,1.000008
160,-0.2494032990599635,1.000003
161,-0.247584296870059,0.999924
162,-0.24576529468021135,0.999995
163,-0.2438553424083807,1.000037
164,-0.24203634021853304,1.000045
165,-0.24012638790435403,1.000039
166,-0.23639743344267572,1.000095
167,-0.23457843125277122,0.999843
168,-0.23275942906292357,1.000023
169,-0.23084947674874456,1.00005
170,-0.2290304745588969,0.999892
171,-0.22712052228706625,1.000022
172,-0.2253015200972186,0.999966
173,-0.2233915677830396,0.999798
174,-0.2215725655931351,1.000066
175,-0.21975356340328744,0.999999
176,-0.21784361108910844,0.999815
177,-0.21602460894160913,1.000111
178,-0.21411465662743012,1.000072
179,-0.21229565443758247,1.00001
180,-0.21038570212340346,0.999968
181,-0.20856669993349897,0.999675
182,-0.20674769774365132,1.000086
183,-0.20483774547182065,1.000024
184,-0.203018743281973,1.000067
185,-0.201108790967794,1.000059
186,-0.19928978877794634,1.000005
187,-0.19737983650611568,1.000044
188,-0.19556083431621119,0.999902
189,-0.19183187981218452,1.00024
190,-0.19001287762233687,0.99999
191,-0.1881029253505062,1.000238
192,-0.18628392316065856,1.000061
193,-0.18437397084647955,1.000107
194,-0.18255496865657506,1.000087
195,-0.1770070120050491,0.999993
196,-0.17509705969087008,0.999964
197,-0.17327805750102243,0.999868
198,-0.17136810518684342,0.99987
199,-0.16954910299693893,0.99988
200,-0.16763915072510827,0.999987
201,-0.16582014853526061,1.000009
202,-0.16400114634541296,1.000015
203,-0.16209119403123395,1.000002
204,-0.1602721918413863,1.000184
205,-0.15836223956955564,1.000067
206,-0.15654323737965115,0.999876
207,-0.15463328506547214,0.999971
208,-0.15281428287562449,1.000014
209,-0.15099528068577683,0.999983
210,-0.14908532841394617,0.999872
211,-0.14726632622409852,0.999939
212,-0.1453563739099195,1.000072
213,-0.14353737172001502,1.00004
214,-0.141627419405836,1.000023
215,-0.1398084172583367,0.999964
216,-0.13798941506848905,1.000144
217,-0.13607946275431004,0.999982
218,-0.1342604605644624,0.999867
219,-0.13235050825028338,0.999934
220,-0.1305315060603789,0.999956
221,-0.12862155378854823,1.000191
222,-0.12498354940885292,0.999976
223,-0.12307359709467391,0.999884
224,-0.12125459490482626,0.999854
225,-0.1193446426329956,1.000191
226,-0.1175256404430911,0.999911
227,-0.1156156881289121,1.000022
228,-0.11379668593906445,1.000107
229,-0.11188673366723378,0.999973
230,-0.10824872928753848,1.000047
231,-0.10633877697335947,0.99994
232,-0.10451977478345498,1.000093
233,-0.10260982246927597,0.999833
234,-0.10079082032177666,1.000114
235,-0.09888086800759766,0.999939
236,-0.09706186581775,1.00008
237,-0.09524286362790235,0.999923
238,-0.09333291131372334,0.999899
239,-0.09151390912381885,0.999949
240,-0.08960395685204503,1.000122
241,-0.08778495466214054,0.999862
242,-0.08587500234796153,1.00012
243,-0.08405600015811387,0.999932
244,-0.08223699796826622,0.99996
245,-0.08032704569643556,1.000064
246,-0.07850804350658791,1.000048
247,-0.0765980911924089,0.999948
248,-0.0747790890025044,0.999941
249,-0.07286913673067374,0.999989
250,-0.0710501345408261,0.999994
251,-0.06923113235097844,1.000054
252,-0.06732118003679943,1.000103
253,-0.06550217784695178,1.000011
254,-0.06359222553277277,1.000038
255,-0.061773223385216625,1.000051
256,-0.058044268881189964,1.000178
257,-0.05622526669134231,0.99993
258,-0.054315314377163304,0.999856
259,-0.05249631218731565,1.000029
260,-0.05058635991548499,0.99995
261,-0.048767357725580496,1.000041
262,-0.04685740541140149,1.000006
263,-0.045038403221553835,1.000032
264,-0.043219401031706184,1.000098
265,-0.04130944875987552,1.00011
266,-0.03949044657002787,1.000018
267,-0.03576149206594437,0.999902
268,-0.033851539794113705,1.000137
269,-0.032032537604266054,1.000032
270,-0.030122585290087045,0.999971
271,-0.028303583100239393,1.000006
272,-0.026484580910391742,0.999904
273,-0.024574628596212733,0.999966
274,-0.022755626448656585,0.999688
275,-0.020845674134477576,1.000048
276,-0.019026671944629925,1.000019
277,-0.017116719630450916,0.999889
278,-0.015297717440603265,1.000081
279,-0.013478715250755613,0.999974
280,-0.011568762978924951,0.999884
281,-0.009749760789020456,0.999952
282,-0.007839808474841448,0.999516
283,-0.006020806284993796,0.999129
284,-0.004110854013163134,0.9989
285,-0.0022918518233154828,0.999037
286,-0.00047284963346783115,0.998995
287,0.0014371026807111775,0.999086
288,0.0032561048706156726,0.999034
289,0.005166057142446334,0.999116
290,0.006985059332293986,0.999155
291,0.008895011646472994,0.9999
292,0.010714013836320646,0.999993
293,0.012533016026168298,1.000151
294,0.01444296829799896,1.00001
295,0.016261970487903454,1.000038
296,0.018171922802082463,1.000082
297,0.019990924991930115,1.000071
298,0.021900877306109123,1.000194
299,0.023719879495956775,1.00004
300,0.025538881685804427,1.000107
301,0.027448833957635088,0.999788
302,0.029267836147539583,1.000048
303,0.031177788461718592,0.999955
304,0.03299679065156624,1.000029
305,0.034906742923396905,1.000138
306,0.03672574511324456,0.999968
307,0.03854474730309221,0.999883
308,0.04045469961727122,0.999958
309,0.04227370180717571,0.999856
310,0.044183654079006374,1.000021
311,0.046002656268854025,1.000053
312,0.047912608583033034,1.000158
313,0.049731610772880686,1.000095
314,0.051641563087059694,0.999893
315,0.053460565234559,1.000086
316,0.055279567424463494,0.999943
