mass,radius
10,2.6271772998234995
10.379145882679053,2.6537339913078966
10.772666925393343,2.6805591297915288
11.181108156416911,2.707655429
11.60503526854637,2.735025629519353
12.045035402587825,2.762672500497548
12.501717960549277,2.790598838500343
12.975715449664976,2.818807469
13.467684358420511,2.8473012440501377
13.978306065792133,2.8760830475113885
14.508287784959396,2.9051557904059755
15.058363542798409,2.934522413680737
15.629295196512034,2.964185888010925
16.221873488805336,2.9941492141007164
16.836919143067437,3.0244154229867575
17.47528400007684,3.054987576344777
18.13785219780445,3.085868766799301
18.825541395948328,3.1170621182365004
19.53930404689612,3.1485707861201915
20.28012871487558,3.1803979578110377
21.04904145,3.2125468528889862
21.84710718,3.2450207234789445
22.67543125870802,3.2778228545797634
23.53516089867911,3.310956564396542
24.427486833971425,3.3444252046762926
25.35364493970112,3.3782321610469936
26.31491794868053,3.412380853360078
27.31263722800845,3.446874736036376
28.34818462301905,3.481717298415562
29.422994371143364,3.5169120651091244
30.53855508833416,3.5524625963569134
31.696411830805083,3.588372488387287
32.89816823,3.624645374
34.145488738336006,3.6612849218381673
35.44010088505641,3.698294838950447
36.78379771828634,3.735678869
38.178440263705056,3.773440793613559
39.62596010701423,3.8115844327951884
41.12836206919211,3.850113645
42.68772698317885,3.8890323279615835
44.30621458,3.928344418437342
45.98606645919119,3.968053893230651
47.72960923505192,4.008164769281181
49.53925771738691,4.048681104133641
51.41751827683928,4.089606996348228
53.36699231,4.130946585915231
55.39037985,4.172704054673827
57.49048329878831,4.214883626735108
59.67021130238474,4.257489569
61.93258279577353,4.300526191137792
64.28073117284319,4.343997847
66.71790862882143,4.387908933796157
69.24749066457892,4.432263893708564
71.87298076,4.477067213534203
74.59801523487933,4.522323425497028
77.42636827,4.568037107634756
80.36195714207739,4.614212884
83.40884766,4.660855426437904
86.57125977643345,4.7079694524389675
89.85357344669075,4.755559728236031
93.26033469,4.803631067976548
96.79626187975676,4.852188334471538
100.46625229480006,4.9012364396875086
104.27538888537676,4.950780345243333
108.22894732144152,5.000825063
112.33240329780276,5.051375655128433
116.59144011798313,5.102437235499903
121.01195656561856,5.154014969325014
125.6000750742976,5.206114074115362
130.36215020715758,5.258739820123502
135.30477745798075,5.311897531
140.43480238598062,5.365592583712316
145.75933009692957,5.419830410328048
151.2857350837603,5.474616497
157.0216714402683,5.529956386766381
162.97508346206433,5.585855676736416
169.1542166,5.642320021907723
175.56762912750014,5.699355134112791
182.2242034990416,5.756966782921883
189.1331591471547,5.815160796226676
196.30406500402705,5.873943060829802
203.7468528039708,5.933319523040347
211.47183083891483,5.993296189275366
219.4896982354321,6.053879126667482
227.8115597730753,6.115074463678631
236.4489412645407,6.176888390719999
245.41380551896788,6.239327160778239
254.7185689104793,6.302397090048007
264.3761185749101,6.3661045585709015
274.3998302585444,6.430456010880852
284.8035868435802,6.495457956656047
295.6017975759768,6.561116971377426
306.8094180223226,6.627439696993858
318.4419707833546,6.6944328425940185
330.5155669928257,6.762103185085074
343.04692863149194,6.8304575698782255
356.0534116871244,6.899502911581166
369.5530301926246,6.969246194697563
383.5644811755343,7.039694474333589
398.1071705534973,7.110854876911615
